2026-02-03 12:31:21,975 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 12:31:23,681 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 12:43:57,445 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 12:44:08,737 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 12:44:08,913 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 12:58:12,252 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 12:58:13,532 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:02:40,332 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:02:40,547 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:02:40,921 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:02:41,086 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:02:41,257 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:02:41,440 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:02:41,619 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
